potid,Verbascum_thapsus,Plantago_major,Veronica_officinalis,Taraxacum_spp.,Fallopia_cilinodis,grass,Galeopsis_tetrahit,Ranunculus_abortivus,acer_sacharrum,Gnaphalium_uliginosum,Cerastium_fontanum,Prunus_pensylvanica,rubus_idaeus_var._strigosus,Plantago_minor,Potentilla_norvegica,Hypericum_perforatum,Viola_sororia,Clinopodium_vulgare,Hieracium_spp.,Chenopodium_album,Acer_spp.,Viola_spp.,Sonchus_oleraceus,Erigeron_canadensis,Geum_spp.,Leucanthemum_vulgare,Senecio_vulgaris,Oenothera_biennis,Eurybia_macrophylla,Barbarea_vulgaris,Erigeron_annuus,Solidago_spp.,pinus_spp.,Polygonum_aviculare,Cardamine_spp.,Solanum_americanum,Rorippa_sylvestris,oxalis_stricta,Eurybia_divaricata,Persicaria_lapathifolia,Sorbus_sp.,Rumex_altissimus,Fragaria_vesca,Acer_negundo,Pseudognaphalium_obtusifolium,Trifolium_hybridum,Veronica_serpyllifolia,Epilobium_ciliatum,Vinca_minor_
pot17,0.008928571,0.017857143,0.008928571,0,0.0625,0.625,0.044642857,0,0,0.017857143,0.008928571,0.008928571,0.017857143,0.008928571,0.008928571,0.017857143,0,0,0.017857143,0,0.008928571,0.008928571,0,0,0.008928571,0,0,0,0.017857143,0.008928571,0,0,0,0.017857143,0,0,0,0.008928571,0,0,0,0,0,0,0,0,0,0,0.044642857
pot18,0.008064516,0.024193548,0.008064516,0,0.120967742,0.64516129,0.056451613,0,0,0,0.008064516,0,0.024193548,0.008064516,0.016129032,0.016129032,0,0,0.008064516,0,0.008064516,0.008064516,0.008064516,0,0.008064516,0,0,0,0,0.008064516,0,0,0,0,0.008064516,0,0,0.008064516,0,0,0,0,0,0,0,0,0,0,0
pot19,0,0.034090909,0.011363636,0,0.090909091,0.340909091,0.340909091,0,0,0,0.011363636,0,0.011363636,0.034090909,0.022727273,0.011363636,0,0,0.022727273,0,0,0.011363636,0,0,0.011363636,0,0,0,0,0.011363636,0,0.011363636,0,0,0,0,0,0,0,0,0.011363636,0,0,0,0,0.011363636,0,0,0
pot20,0,0.024390244,0.008130081,0.008130081,0.016260163,0.609756098,0.162601626,0,0,0,0.008130081,0,0.016260163,0,0.016260163,0.016260163,0,0.016260163,0,0,0,0.008130081,0,0,0.008130081,0.040650407,0,0,0,0.032520325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008130081,0,0
pot21,0,0.12,0.024,0,0.04,0.48,0.08,0,0,0,0.008,0,0.024,0.016,0.04,0.016,0,0,0,0,0.008,0,0.008,0.008,0.008,0.024,0,0,0.016,0.008,0,0.024,0,0,0.008,0,0,0,0,0,0.008,0,0,0,0,0,0.008,0,0.024
pot22,0,0.026666667,0.013333333,0,0.333333333,0.2,0.106666667,0,0,0,0.013333333,0,0.013333333,0.013333333,0.04,0.013333333,0,0,0,0,0,0.013333333,0,0,0,0,0.133333333,0,0,0.04,0.013333333,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0.013333333,0
pot23,0,0.106666667,0.013333333,0,0.106666667,0.266666667,0.066666667,0,0,0,0.013333333,0.013333333,0.066666667,0.013333333,0.053333333,0.066666667,0,0,0,0,0,0.013333333,0.013333333,0,0.013333333,0.026666667,0.013333333,0,0,0.026666667,0,0.026666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013333333,0,0.013333333,0.053333333
pot24,0.007575758,0.022727273,0.007575758,0,0.113636364,0.606060606,0.075757576,0,0,0,0.007575758,0,0.037878788,0.015151515,0.037878788,0.007575758,0,0.007575758,0.015151515,0,0.007575758,0.015151515,0.007575758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007575758,0,0,0,0,0,0,0,0,0,0,0
pot25,0,0.019417476,0.038834951,0,0.009708738,0.436893204,0.291262136,0.009708738,0,0,0.048543689,0,0.009708738,0.009708738,0.029126214,0,0,0,0,0,0.009708738,0.009708738,0.019417476,0,0.009708738,0,0,0,0,0,0,0.019417476,0,0,0,0,0,0,0,0,0.009708738,0,0,0,0,0,0,0,0.019417476
pot26,0.006944444,0.013888889,0.006944444,0,0.104166667,0.520833333,0.006944444,0.006944444,0,0,0.006944444,0,0.034722222,0,0.013888889,0.006944444,0,0.013888889,0.006944444,0,0.006944444,0.013888889,0.006944444,0,0.006944444,0,0.104166667,0,0,0.034722222,0,0,0,0,0.006944444,0,0,0,0,0,0.006944444,0,0,0,0,0,0.006944444,0.006944444,0.048611111
pot27,0.010752688,0.021505376,0.010752688,0.010752688,0.322580645,0.322580645,0.043010753,0,0,0,0.010752688,0,0.010752688,0.021505376,0.107526882,0.010752688,0,0,0,0,0.021505376,0,0.010752688,0,0.010752688,0.021505376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032258065
pot28,0,0.074074074,0,0.012345679,0.012345679,0.37037037,0.308641975,0,0,0,0.012345679,0,0.024691358,0,0.012345679,0.024691358,0,0,0.012345679,0,0.024691358,0.012345679,0,0,0.024691358,0,0,0,0,0,0.012345679,0.012345679,0,0,0,0.012345679,0,0,0,0,0.037037037,0,0,0,0,0,0,0,0
pot29,0,0.015384615,0.015384615,0.030769231,0.015384615,0.692307692,0.076923077,0,0,0,0.015384615,0,0.046153846,0,0.015384615,0.015384615,0,0.015384615,0,0,0,0.015384615,0,0,0.015384615,0,0,0,0.015384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pot30,0.012195122,0.036585366,0.012195122,0.12195122,0.073170732,0.304878049,0.06097561,0.012195122,0,0,0.012195122,0,0,0.012195122,0.012195122,0.012195122,0,0.012195122,0,0,0.012195122,0.024390244,0.012195122,0,0.024390244,0.012195122,0,0,0,0.012195122,0.012195122,0.085365854,0,0,0,0,0,0,0,0,0.012195122,0,0,0,0,0.085365854,0,0,0.012195122
